         93881 function calls (93668 primitive calls) in 3.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      678    0.001    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:845(_get_write_buffer_size)
       35    0.001    0.000    0.003    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:285(__init__)
       34    0.001    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/socket.py:220(__init__)
        2    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       22    0.001    0.000    0.001    0.000 {function socket.close at 0x104700680}
      689    0.001    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/http_parser.py:1020(begin_http_chunk_receiving)
      725    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      212    0.001    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/helpers.py:650(__exit__)
      166    0.001    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/events.py:64(cancel)
      689    0.001    0.000    0.002    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/http_parser.py:1023(end_http_chunk_receiving)
       35    0.001    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/streams.py:135(__init__)
2181/2113    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      698    0.001    0.000    0.001    0.000 {method 'read' of '_ssl.MemoryBIO' objects}
       64    0.001    0.000    0.006    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:614(sock_connect)
      717    0.001    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:889(_get_read_buffer_size)
